NU_SEQUENCIAL;SG_UF_PROVA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO
629049;RS;2;1;0;0;0;0;;;;;;
2118104;PA;;;1;1;1;1;377.6;462.7;516.5;486.1;1;760
3956154;SP;;;0;0;0;0;;;;;;
3448419;TO;;;1;1;1;1;438.3;593.4;506.8;524.5;1;540
1501226;PR;4;1;1;1;1;1;672.3;703.2;611.1;857.7;1;780
1400043;PA;;;1;1;1;1;427;429.9;443.7;399;1;500
4221360;RJ;;;0;0;0;0;;;;;;
180681;BA;;;0;0;0;0;;;;;;
537603;CE;2;1;1;1;1;1;379.5;478.3;539.2;425.3;1;600
611841;SC;;;0;0;0;0;;;;;;
227920;RJ;;;0;1;1;0;;465.3;459;;4;0
610639;PE;;;1;1;1;1;377.1;464.7;514;468;1;720
3168991;RO;2;1;1;1;1;1;535.9;292.9;397;381.6;1;520
1990115;SP;;;1;1;1;1;555.8;510.4;520.7;585.3;1;720
1589764;RJ;2;2;1;1;1;1;466;549.4;563.4;469;1;860
3136748;PR;2;1;0;0;0;0;;;;;;
2231481;CE;2;1;1;1;1;1;496.4;339;470.5;425.8;1;660
2650885;SP;4;1;1;1;1;1;688.7;716.4;628.1;801.9;1;920
3829766;RS;;;0;0;0;0;;;;;;
3408026;SP;;;0;0;0;0;;;;;;
505953;RO;;;0;0;0;0;;;;;;
2125530;RO;;;1;1;1;1;710.3;699.5;634.7;887.6;1;860
958877;PE;2;1;1;1;1;1;366.3;499.3;588;507.7;1;660
3721291;PA;;;0;0;0;0;;;;;;
3248107;MG;2;1;0;0;0;0;;;;;;
1546154;RJ;2;1;1;1;1;1;403.2;438.8;504.5;443.7;1;600
3255958;AL;;;0;1;1;0;;341.2;334.6;;1;340
800875;RO;2;1;1;1;1;1;393.2;433.4;476.8;528.4;1;560
2474256;SC;;;1;1;1;1;523.7;533;589.1;474.1;4;0
1049573;PA;;;1;1;1;1;467.7;373.2;436.3;416.2;1;400
3972375;PR;1;1;0;1;1;0;;576;570.3;;1;620
1487520;CE;2;1;0;0;0;0;;;;;;
4326576;RS;;;1;1;1;1;393.8;411.2;395.4;423.9;1;420
104458;GO;2;1;1;1;1;1;532.6;582.8;581.7;483.1;1;800
3676306;MA;;;1;1;1;1;448.1;514.7;530.1;412.2;1;560
4012533;MA;;;1;1;1;1;581.3;634.5;579.5;650.4;1;520
1791944;PE;;;1;1;1;1;366.4;521.9;544.2;570.4;1;740
1059916;RN;2;1;1;1;1;1;400.3;348.9;373.4;473.2;1;400
2246023;BA;;;1;1;1;1;563.3;685.4;568.7;649.2;1;620
832684;SC;;;0;0;0;0;;;;;;
3249487;MG;;;0;0;0;0;;;;;;
2423312;GO;;;0;0;0;0;;;;;;
2637111;MA;2;1;1;1;1;1;497;549.5;525.8;595.6;1;640
1189681;TO;;;1;1;1;1;394.5;412.2;369.2;423.5;1;640
4269461;MA;;;0;0;0;0;;;;;;
1278508;BA;2;1;0;0;0;0;;;;;;
